,time,/vicon/pose/header.frame_id,/vicon/pose/header.stamp.nanosec,/vicon/pose/header.stamp.sec,/vicon/pose/roll,/vicon/pose/pitch,/vicon/pose/yaw,/vicon/pose/pose.position.x,/vicon/pose/pose.position.y,/vicon/pose/pose.position.z,/cf_controll/roll,/cf_controll/pitch,/cf_controll/yaw,/cf_controll/position.x,/cf_controll/position.y,/cf_controll/position.z,/cf_logpos/roll,/cf_logpos/pitch,/cf_logpos/yaw,/cf_logpos/position.x,/cf_logpos/position.y,/cf_logpos/position.z,/cf_command/x,/cf_command/y,/cf_command/z
0,1747734410641361465,vicon/world,635723432.0,1747734410.0,-1.2605048335371485,2.72121236414213,2.3938021747062037,-0.004773961508575852,1.3717180865320444,0.09455828419096962,,,,,,,,,,,,,,,
1,1747734410650931539,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,1747734410652743700,vicon/world,645815290.0,1747734410.0,-1.2602647983006154,2.734134894220334,2.4035858762711473,-0.004768566146209453,1.3717262219424984,0.0945549540987645,,,,,,,,,,,,,,,
3,1747734410661579136,vicon/world,654930509.0,1747734410.0,-1.2390895630396508,2.7658961814400973,2.388507778127793,-0.004773208242863343,1.3717220696774248,0.09454028706563708,,,,,,,,,,,,,,,
4,1747734410672869357,vicon/world,665272629.0,1747734410.0,-1.2438252075875869,2.7292249085798765,2.393774932152806,-0.004767780801507509,1.3717299456151553,0.0945396906091917,,,,,,,,,,,,,,,
5,1747734410681529500,vicon/world,675254722.0,1747734410.0,-1.243781225485297,1.9198236216142428,2.4569481831412077,-0.0047977602884334645,1.371738613107741,0.0946881352389045,,,,,,,,,,,,,,,
6,1747734410691348711,vicon/world,685905325.0,1747734410.0,-1.2290428887582863,2.7738055750425183,2.399096405349526,-0.004774315608078926,1.371720952251129,0.09455057220757801,,,,,,,,,,,,,,,
7,1747734410692817829,,,,,,,,,,,,,,,,-1.7597658634185789,-1.3790321350097552,2.309913396835327,-0.007061225827783346,1.384713888168335,0.05264265090227127,,,
8,1747734410701675965,vicon/world,694790898.0,1747734410.0,-1.2687347879658697,1.922170291366938,2.4488128487794434,-0.004788160261438095,1.371744910543819,0.09467495935101297,,,,,,,,,,,,,,,
9,1747734410711425934,vicon/world,704887999.0,1747734410.0,-1.2476082639849222,1.8814407689473287,2.472424266862321,-0.004792991661589115,1.3717458821988626,0.09469574942453068,,,,,,,,,,,,,,,
10,1747734410721914794,vicon/world,715630589.0,1747734410.0,-1.2339599014945588,1.8581576223155871,2.4769570756164305,-0.004778970862402728,1.3717485275013965,0.09471634100649247,,,,,,,,,,,,,,,
11,1747734410727132916,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
12,1747734410731447438,vicon/world,725721523.0,1747734410.0,-1.2496977502207314,1.9674921888214134,2.4619416325334798,-0.004794360168375629,1.3717432681498463,0.09467762145354278,,,,,,,,,,,,,,,
13,1747734410741377445,vicon/world,734793182.0,1747734410.0,-1.2671348138560783,1.8664311504320514,2.4567755753779847,-0.004800223484782727,1.3717255707371199,0.09468228522513303,,,,,,,,,,,,,,,
14,1747734410752710497,vicon/world,745252667.0,1747734410.0,-1.2638469959113632,1.8614922178432205,2.4784277456496806,-0.004785032559828416,1.371738775180076,0.09470880792911031,,,,,,,,,,,,,,,
15,1747734410761593768,vicon/world,755153710.0,1747734410.0,-1.2331547431071868,2.7255328134060592,2.4025160906012086,-0.004772758139356815,1.3717262160191708,0.09457267487324214,,,,,,,,,,,,,,,
16,1747734410771203061,vicon/world,765711932.0,1747734410.0,-1.2378574763768915,2.7161650634847847,2.4095104707021697,-0.004765691892512912,1.3717401722765297,0.09455459673292066,,,,,,,,,,,,,,,
17,1747734410781645464,vicon/world,775981439.0,1747734410.0,-1.270220237671867,2.7734725414306776,2.402598025382822,-0.004780836074320776,1.3717169929405595,0.09453876473402645,,,,,,,,,,,,,,,
18,1747734410791504905,vicon/world,784729727.0,1747734410.0,-1.250841054185027,2.7271469630100467,2.4247803251856754,-0.0047805182740532325,1.371724546477787,0.09454067237354749,,,,,,,,,,,,,,,
19,1747734410793369974,,,,,,,,,,,,,,,,-1.7785093784332273,-1.4674018621444724,2.3235034942626958,-0.0030209224205464125,1.392891764640808,0.0516507625579834,,,
20,1747734410801478212,vicon/world,794856524.0,1747734410.0,-1.25166881079374,1.8876630611928853,2.4474210015274678,-0.004787036406301862,1.371740331692375,0.09470309289600765,,,,,,,,,,,,,,,
21,1747734410812582004,vicon/world,805944034.0,1747734410.0,-1.2612715671749286,2.7930367527882227,2.3858468731850735,-0.004766659457355435,1.3717210343693753,0.09454493082223189,,,,,,,,,,,,,,,
22,1747734410821516935,vicon/world,814782811.0,1747734410.0,-1.2493082357818477,2.7847377935952955,2.3957828398993826,-0.004770173674066149,1.3717188529654056,0.0945426121480476,,,,,,,,,,,,,,,
23,1747734410831067359,vicon/world,824914246.0,1747734410.0,-1.2603127133812702,1.8877026608396161,2.4637771741662915,-0.004780344437933582,1.3717419658566579,0.09469113511567116,,,,,,,,,,,,,,,
24,1747734410840887445,vicon/world,835647303.0,1747734410.0,-1.2652675200413268,1.8817066709372978,2.475242452156235,-0.004798173867504198,1.3717428129742293,0.09468810344897814,,,,,,,,,,,,,,,
25,1747734410850605622,vicon/world,845068093.0,1747734410.0,-1.2420266570157483,1.9519574945343294,2.4432090078854927,-0.004793256309815435,1.3717368389876785,0.0946891026974647,,,,,,,,,,,,,,,
