,time,/vicon/pose/header.frame_id,/vicon/pose/header.stamp.nanosec,/vicon/pose/header.stamp.sec,/vicon/pose/roll,/vicon/pose/pitch,/vicon/pose/yaw,/vicon/pose/pose.position.x,/vicon/pose/pose.position.y,/vicon/pose/pose.position.z,/cf_controll/roll,/cf_controll/pitch,/cf_controll/yaw,/cf_controll/position.x,/cf_controll/position.y,/cf_controll/position.z,/cf_logpos/roll,/cf_logpos/pitch,/cf_logpos/yaw,/cf_logpos/position.x,/cf_logpos/position.y,/cf_logpos/position.z,/cf_command/x,/cf_command/y,/cf_command/z
0,1747920409520791196,vicon/world,509776581.0,1747920409.0,-1.0205789265377492,-5.808358254308759,-0.6936179359507039,0.03413012348877449,1.30755085590923,0.09532731163412601,,,,,,,,,,,,,,,
1,1747920409528897111,vicon/world,519549595.0,1747920409.0,-1.0389547131526817,-5.787400437532771,-0.7050780006713865,0.03412293063694712,1.3075771602393371,0.09533223627287603,,,,,,,,,,,,,,,
2,1747920409538720136,vicon/world,529502209.0,1747920409.0,-1.0231998443812207,-5.802175967808842,-0.6781128685192386,0.034130576895314804,1.3075737574688264,0.09530911248243835,,,,,,,,,,,,,,,
3,1747920409548738462,vicon/world,539505643.0,1747920409.0,-1.0905056447426547,-5.761943975405038,-0.6743859724151778,0.03413193669666106,1.3075545898216927,0.09533838736579107,,,,,,,,,,,,,,,
4,1747920409558372825,vicon/world,549445206.0,1747920409.0,-1.0221911369178431,-5.81983082049742,-0.7223122207987995,0.034130800152742086,1.3075865706976928,0.09533013328408685,,,,,,,,,,,,,,,
5,1747920409568442273,vicon/world,559372817.0,1747920409.0,-1.0148735274449536,-5.776210934016189,-0.7042878588654273,0.03414554205693927,1.3075800074894317,0.09531696959393761,,,,,,,,,,,,,,,
6,1747920409573529917,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,1747920409578414988,vicon/world,569405670.0,1747920409.0,-0.9143660774349932,-5.862562869618096,-0.7639502006077303,0.03409564639305469,1.307552937433864,0.09526904506430306,,,,,,,,,,,,,,,
8,1747920409587905749,vicon/world,579383496.0,1747920409.0,-1.0928027667912734,-5.74066592850216,-0.7050998032569019,0.03411256233836693,1.307554353487928,0.09534852450943959,,,,,,,,,,,,,,,
9,1747920409598377166,vicon/world,590524339.0,1747920409.0,-1.0378192333654435,-5.604756452981897,-0.7095839362253272,0.03413029218610583,1.3075677379660782,0.09532189494334219,,,,,,,,,,,,,,,
10,1747920409608214614,vicon/world,600514543.0,1747920409.0,-1.032743585938231,-5.77621249989393,-0.6886179455923325,0.03413008708934493,1.3075797024478877,0.09531575665164571,,,,,,,,,,,,,,,
11,1747920409617501211,vicon/world,609383496.0,1747920409.0,-1.0187062819054333,-5.836021179676134,-0.6759963669501338,0.03413861042199661,1.3075616926059612,0.09530932902993851,,,,,,,,,,,,,,,
12,1747920409628649522,vicon/world,619452453.0,1747920409.0,-1.0157936499131754,-5.789112231449647,-0.6918202328870885,0.03412891570783974,1.3075814591949846,0.09533335376220278,,,,,,,,,,,,,,,
13,1747920409639571487,vicon/world,629513822.0,1747920409.0,-0.9317186852017042,-5.8308247318531965,-0.7454382274567185,0.03410605325395614,1.307560390066425,0.09528741083192796,,,,,,,,,,,,,,,
14,1747920409647645369,vicon/world,639374129.0,1747920409.0,-0.8949509872852275,-5.644502726436267,-1.0723555846802677,0.03394457968522424,1.307508658625142,0.09525957578951909,,,,,,,,,,,,,,,
15,1747920409657888083,vicon/world,650366317.0,1747920409.0,-1.0850459003677846,-5.580459483254959,-0.730310666465721,0.034112058617820046,1.3075586071968304,0.09531865265788536,,,,,,,,,,,,,,,
16,1747920409668308064,vicon/world,659455547.0,1747920409.0,-1.0955378868993269,-5.640315898894831,-0.6975796038736504,0.034091850294064495,1.3075263199560572,0.09531727576741321,,,,,,,,,,,,,,,
17,1747920409678269280,vicon/world,669420061.0,1747920409.0,-1.0065524279609257,-5.78020113377225,-0.6995227815551267,0.034142029491375014,1.3076016462384912,0.09534204106877829,,,,,,,,,,,,,,,
18,1747920409688652141,vicon/world,679639651.0,1747920409.0,-1.0333977300352817,-5.817103314527943,-0.6845470462451956,0.03414811070653375,1.3075794610772011,0.09533839308811838,,,,,,,,,,,,,,,
19,1747920409697751201,vicon/world,689299278.0,1747920409.0,-1.0113007481546281,-5.813742208063028,-0.6820939521416302,0.03412764363967058,1.3075621479199673,0.09531754952338961,,,,,,,,,,,,,,,
20,1747920409706963938,vicon/world,699810300.0,1747920409.0,-1.0260915578010872,-5.7868461650681855,-0.6926382704795121,0.034128241421399,1.3075848259511251,0.09533474472911967,,,,,,,,,,,,,,,
21,1747920409717842202,vicon/world,709365096.0,1747920409.0,-1.0332574730072022,-5.672018168351739,-0.7067876696519418,0.03411915734089516,1.3075745031212032,0.09532093693291598,,,,,,,,,,,,,,,
22,1747920409726343320,vicon/world,719207287.0,1747920409.0,-1.0761542921391405,-5.711817744674028,-0.7133653618842841,0.03410566033748591,1.307558992207425,0.09536877295316945,,,,,,,,,,,,,,,
23,1747920409732606307,,,,,,,,,,,,,,,,-0.22541087865829468,6.106242179870611,0.2337134331464768,0.0,0.0,83.55390167236328,,,
24,1747920409732716054,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
25,1747920409737058948,vicon/world,729953584.0,1747920409.0,-1.031126234537022,-5.8034468798130465,-0.6682295048301836,0.03413153490485761,1.3075701673218176,0.09532202516342442,,,,,,,,,,,,,,,
