,time,/vicon/pose/header.frame_id,/vicon/pose/header.stamp.nanosec,/vicon/pose/header.stamp.sec,/vicon/pose/roll,/vicon/pose/pitch,/vicon/pose/yaw,/vicon/pose/pose.position.x,/vicon/pose/pose.position.y,/vicon/pose/pose.position.z,/cf_logpos/roll,/cf_logpos/pitch,/cf_logpos/yaw,/cf_logpos/position.x,/cf_logpos/position.y,/cf_logpos/position.z,/cf_controll/roll,/cf_controll/pitch,/cf_controll/yaw,/cf_controll/position.x,/cf_controll/position.y,/cf_controll/position.z,/cf_command/x,/cf_command/y,/cf_command/z
0,1747920697006388604,vicon/world,998728195.0,1747920696.0,-1.5080785702628796,-2.1979463026922423,-2.8539820407534435,0.11966829832869953,1.3963970932842122,0.09549987009737973,,,,,,,,,,,,,,,
1,1747920697017500336,vicon/world,8651718.0,1747920697.0,-1.4826309078310955,-2.220608864255929,-2.854993596496895,0.11966632196554576,1.3964132102444278,0.09547349333341922,,,,,,,,,,,,,,,
2,1747920697026246718,vicon/world,19214238.0,1747920697.0,-1.4276146180908873,-2.0243318763418596,-2.8089878176555665,0.11967156952338469,1.3964427660140166,0.0954942150799908,,,,,,,,,,,,,,,
3,1747920697036478706,vicon/world,29131835.0,1747920697.0,-1.5123663173362663,-2.069037296869839,-2.815150497615583,0.11968147335852611,1.3964118859722743,0.0954721181676427,,,,,,,,,,,,,,,
4,1747920697046287446,vicon/world,38357830.0,1747920697.0,-1.484744705129046,-2.113439389058966,-2.8427476381335137,0.119657534091412,1.3964068226194657,0.09544696858327041,,,,,,,,,,,,,,,
5,1747920697056359850,vicon/world,48773678.0,1747920697.0,-1.478991835618014,-2.1734779977569754,-2.8679473707013607,0.11966364918440252,1.3964101011082248,0.09547911504064845,,,,,,,,,,,,,,,
6,1747920697067811648,vicon/world,58775325.0,1747920697.0,-1.50765982249444,-2.1844580253682806,-2.8769592751427076,0.11965141369274837,1.3963993859920825,0.09550120989798136,,,,,,,,,,,,,,,
7,1747920697076355202,vicon/world,68300895.0,1747920697.0,-1.5050711424537493,-2.104685020450977,-2.848881265600362,0.11967451084928565,1.3964116561472455,0.0954624632601051,,,,,,,,,,,,,,,
8,1747920697085202922,,,,,,,,,,-0.5302188992500306,1.6525688171386697,-0.33721691370010376,0.0,0.0,83.64733123779297,,,,,,,,,
9,1747920697086688979,vicon/world,79240929.0,1747920697.0,-1.4184276527851003,-2.0478860752987664,-2.8223978260139426,0.119658885702746,1.3964070477121429,0.09546209488150385,,,,,,,,,,,,,,,
10,1747920697097282764,vicon/world,88282220.0,1747920697.0,-1.4820659060806687,-2.0958176377859647,-2.8540020773107106,0.11967994282895,1.3964292714467388,0.09547885277371125,,,,,,,,,,,,,,,
11,1747920697106195716,vicon/world,98507940.0,1747920697.0,-1.416971725511373,-2.1258239201467006,-2.8558674858266655,0.11964844076628893,1.396416951138641,0.09552262690232487,,,,,,,,,,,,,,,
12,1747920697106525784,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
13,1747920697117430709,vicon/world,108916047.0,1747920697.0,-1.490054748059019,-2.1956420561849286,-2.860435301126937,0.11965195527593014,1.3964031087723554,0.09547456756640212,,,,,,,,,,,,,,,
14,1747920697125971565,vicon/world,118694809.0,1747920697.0,-1.5109858589727327,-2.181952796951396,-2.855780630685873,0.11965175695217392,1.396372195604199,0.09548193121077267,,,,,,,,,,,,,,,
15,1747920697136022058,vicon/world,128689830.0,1747920697.0,-1.515226956096051,-2.0805332348770356,-2.8371769622105223,0.1196723062966405,1.3964073454463448,0.09547342937548788,,,,,,,,,,,,,,,
16,1747920697147336839,vicon/world,139345064.0,1747920697.0,-1.5628784564144673,-2.1963451700518584,-2.8357150104812554,0.11964765593221913,1.3963791736011735,0.09547072477544577,,,,,,,,,,,,,,,
17,1747920697156530715,vicon/world,148292897.0,1747920697.0,-1.4790899360904817,-2.060066179458516,-2.862542224324297,0.11966421914417665,1.396417248399616,0.09545756180340872,,,,,,,,,,,,,,,
18,1747920697166338652,vicon/world,158946838.0,1747920697.0,-1.474536715251607,-2.3241005192984616,-2.854869367827878,0.11964407647465819,1.3964239335217496,0.09549501264781268,,,,,,,,,,,,,,,
19,1747920697177200914,vicon/world,168602115.0,1747920697.0,-1.539182167266005,-2.0758187066578286,-2.84552619994464,0.11966884456173363,1.3964128896192713,0.09547997937123853,,,,,,,,,,,,,,,
20,1747920697185812913,vicon/world,178202862.0,1747920697.0,-1.502069760621915,-2.242302784935139,-2.8365342440907937,0.11966886529789901,1.3963912418828797,0.09548285440728335,,,,,,,,,,,,,,,
21,1747920697188285090,,,,,,,,,,-0.5270838141441346,1.6487839221954395,-0.3379448354244232,0.0,0.0,83.65304565429688,,,,,,,,,
22,1747920697194559285,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
23,1747920697197106068,vicon/world,188454654.0,1747920697.0,-1.4274526432086534,-2.235798920813239,-2.8924555991572913,0.11970200675454057,1.3963910983400643,0.09546426409272485,,,,,,,,,,,,,,,
24,1747920697206434240,vicon/world,198251742.0,1747920697.0,-1.5250479804508947,-2.1943616556546264,-2.877589677209329,0.11966277595333029,1.396390819614406,0.09547867821983147,,,,,,,,,,,,,,,
25,1747920697216330088,vicon/world,208181808.0,1747920697.0,-1.5062578646923703,-2.021051662646021,-2.8078769638384418,0.11967409868402565,1.3964073049922434,0.09549450275760843,,,,,,,,,,,,,,,
26,1747920697226922390,vicon/world,219322294.0,1747920697.0,-1.5055906943030355,-2.053722475134537,-2.8199736006092393,0.11969525180187382,1.3964157238253199,0.09546348089708918,,,,,,,,,,,,,,,
27,1747920697236225833,vicon/world,228209163.0,1747920697.0,-1.4863403472517958,-2.2237083137920948,-2.847999662995775,0.11967417441472843,1.3963981424675596,0.09549184050780372,,,,,,,,,,,,,,,
28,1747920697246277046,vicon/world,239390420.0,1747920697.0,-1.3442056660348387,-1.997914275294805,-2.8784714370239763,0.11966073298276093,1.3964321043926338,0.09547155075798007,,,,,,,,,,,,,,,
29,1747920697256211526,vicon/world,248512712.0,1747920697.0,-1.5034574486892351,-2.071656773669997,-2.827936556233639,0.11967908973460492,1.3964086207399227,0.09546020471971187,,,,,,,,,,,,,,,
30,1747920697266312300,vicon/world,258372257.0,1747920697.0,-1.5416452851003437,-2.0485296464179408,-2.8567699114621314,0.11965195844866437,1.3964037998663512,0.09545347825118232,,,,,,,,,,,,,,,
31,1747920697277166544,vicon/world,268517895.0,1747920697.0,-1.4731000955088764,-2.1119093846078623,-2.882326858767094,0.1196623424394005,1.3964282934605037,0.09545044754698351,,,,,,,,,,,,,,,
32,1747920697286279240,vicon/world,278261339.0,1747920697.0,-1.5132412061781755,-2.16977252222486,-2.8459870933537177,0.11966282644194993,1.3963971058228382,0.09548893134146257,,,,,,,,,,,,,,,
33,1747920697288438381,,,,,,,,,,-0.527642488479614,1.6467241048812813,-0.33538541197776794,0.0,0.0,83.64122772216797,,,,,,,,,
34,1747920697296199271,vicon/world,288398440.0,1747920697.0,-1.5016105707417144,-2.0886193250074427,-2.877328402409891,0.11966130461195691,1.3964185149961807,0.09544836536402274,,,,,,,,,,,,,,,
35,1747920697305696905,vicon/world,298433344.0,1747920697.0,-1.47723385520607,-2.1658788604486547,-2.9042657655287916,0.11966068280376496,1.3964002385363925,0.09547294206413283,,,,,,,,,,,,,,,
36,1747920697309432820,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
37,1747920697315962082,vicon/world,308215256.0,1747920697.0,-1.5145249345100031,-2.195029359360763,-2.86645161336279,0.11964898701924619,1.3963867209525873,0.0954843003212449,,,,,,,,,,,,,,,
38,1747920697324711851,vicon/world,318223932.0,1747920697.0,-1.420981956088368,-2.002336081836464,-2.853964838464458,0.1196917440465566,1.3964301771247825,0.09545700587721287,,,,,,,,,,,,,,,
39,1747920697335736571,vicon/world,328421672.0,1747920697.0,-1.561567147717282,-2.227654859222114,-2.784908111109234,0.11966558260408082,1.3964226305212946,0.09548529389582329,,,,,,,,,,,,,,,
40,1747920697344458969,vicon/world,338223792.0,1747920697.0,-1.4620622029280115,-2.0969885863725524,-2.8458760499973024,0.11970300465213315,1.3963936760880091,0.09543204581240247,,,,,,,,,,,,,,,
41,1747920697354377771,vicon/world,348754507.0,1747920697.0,-1.4773379651640373,-2.210516997042579,-2.8981105620846255,0.11964519995490495,1.396406659507648,0.09547117003123887,,,,,,,,,,,,,,,
42,1747920697364681069,vicon/world,358514527.0,1747920697.0,-1.4489828243127936,-2.0932769694583198,-2.859986550822484,0.11964953697875158,1.396419534136024,0.09546794346125799,,,,,,,,,,,,,,,
43,1747920697374988862,vicon/world,368457836.0,1747920697.0,-1.5012456922406916,-2.1985802265533514,-2.873875918838636,0.11967619800282245,1.3964078986730528,0.09546859151290271,,,,,,,,,,,,,,,
44,1747920697378372013,,,,,,,,,,-0.5280737280845644,1.6460969448089655,-0.33577755093574524,0.0,0.0,83.65394592285156,,,,,,,,,
