,time,/vicon/pose/header.frame_id,/vicon/pose/header.stamp.nanosec,/vicon/pose/header.stamp.sec,/vicon/pose/roll,/vicon/pose/pitch,/vicon/pose/yaw,/vicon/pose/pose.position.x,/vicon/pose/pose.position.y,/vicon/pose/pose.position.z,/cf_logerr/roll,/cf_logerr/pitch,/cf_logerr/yaw,/cf_logerr/position.x,/cf_logerr/position.y,/cf_logerr/position.z,/cf_logpos/roll,/cf_logpos/pitch,/cf_logpos/yaw,/cf_logpos/position.x,/cf_logpos/position.y,/cf_logpos/position.z,/cf_controll/roll,/cf_controll/pitch,/cf_controll/yaw,/cf_controll/position.x,/cf_controll/position.y,/cf_controll/position.z,/cf_command/x,/cf_command/y,/cf_command/z
26,1747749231927293995,vicon/world,920187139.0,1747749231.0,-0.8027880950888808,-1.3581507606722762,1.452955510881889,0.02535836114668272,1.3698695471895184,0.04048599198429349,,,,,,,,,,,,,,,,,,,,,
27,1747749231938054681,vicon/world,930516310.0,1747749231.0,-0.8706001446465575,-1.3458459774358265,1.4876498179146431,0.025446314071207506,1.369962535202269,0.04046516847265184,,,,,,,,,,,,,,,,,,,,,
28,1747749231947382535,vicon/world,940187479.0,1747749231.0,-0.8536004665064809,-1.298428333904682,1.4660277528826056,0.025371762070089416,1.3698615191788037,0.04050630837014746,,,,,,,,,,,,,,,,,,,,,
29,1747749231957848433,vicon/world,950503588.0,1747749231.0,-0.9020774544894398,-1.3220098705291892,1.517922612959174,0.025354218780205173,1.369883032251967,0.0405196066275388,,,,,,,,,,,,,,,,,,,,,
30,1747749231967949091,vicon/world,960496520.0,1747749231.0,-0.8909364267492191,-1.3358606329063207,1.460065046171667,0.025354804227497797,1.3698358424826618,0.04052448983562939,,,,,,,,,,,,,,,,,,,,,
31,1747749231974584048,,,,,,,,,,,,,,,,-0.7104364037513733,1.2841420173644935,1.4230471849441526,0.002361791441217065,1.3814311027526855,0.020215313881635666,,,,,,,,,
32,1747749231977237535,vicon/world,970168611.0,1747749231.0,-0.9041497047062509,-1.243626082899388,1.45138084452236,0.02546347811040921,1.369936862263355,0.04047909609426042,,,,,,,,,,,,,,,,,,,,,
33,1747749231987367211,vicon/world,980203679.0,1747749231.0,-0.8696963924768737,-1.3313420543000272,1.4421584697977612,0.02544332472532564,1.36998103666197,0.04042367493422572,,,,,,,,,,,,,,,,,,,,,
34,1747749231997314943,vicon/world,990183048.0,1747749231.0,-0.666867515459707,-1.441519780574237,1.4602424043443247,0.025324733792498094,1.3697868554046748,0.040416087177298464,,,,,,,,,,,,,,,,,,,,,
35,1747749232006556809,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
