,time,/vicon/pose/header.frame_id,/vicon/pose/header.stamp.nanosec,/vicon/pose/header.stamp.sec,/vicon/pose/roll,/vicon/pose/pitch,/vicon/pose/yaw,/vicon/pose/pose.position.x,/vicon/pose/pose.position.y,/vicon/pose/pose.position.z,/cf_logpos/roll,/cf_logpos/pitch,/cf_logpos/yaw,/cf_logpos/position.x,/cf_logpos/position.y,/cf_logpos/position.z,/cf_controll/roll,/cf_controll/pitch,/cf_controll/yaw,/cf_controll/position.x,/cf_controll/position.y,/cf_controll/position.z,/cf_command/x,/cf_command/y,/cf_command/z
0,1747921332144829379,vicon/world,136917654.0,1747921332.0,-3.081439568517612,-10.201884387385208,179.2782426605044,-0.21228510657053665,1.0136554181233586,0.09213692968286342,,,,,,,,,,,,,,,
1,1747921332153882805,vicon/world,145844672.0,1747921332.0,-3.124194290345855,-10.156490545347745,179.30995241318948,-0.212266125169914,1.0136594615623133,0.09212553445629244,,,,,,,,,,,,,,,
2,1747921332164656747,vicon/world,155676069.0,1747921332.0,-3.112959033839886,-10.105507510387913,179.2848184889446,-0.21225902521582132,1.0136740421868284,0.092141626534069,,,,,,,,,,,,,,,
3,1747921332175154877,vicon/world,165842850.0,1747921332.0,-3.061998491810392,-10.13449098314141,179.30805938346893,-0.21229058774354936,1.0136616301169434,0.09212883095873484,,,,,,,,,,,,,,,
4,1747921332183680633,vicon/world,175729833.0,1747921332.0,-3.038650129483798,-10.175648153990291,179.32880145254327,-0.2122769929331596,1.013648867114513,0.09211073905028112,,,,,,,,,,,,,,,
5,1747921332190948287,,,,,,,,,,-0.5940279364585875,9.805703163146967,0.07055727392435068,0.0,0.0,83.2301025390625,,,,,,,,,
6,1747921332194250278,vicon/world,186631987.0,1747921332.0,-3.1422389050213666,-10.143819464067882,179.30593724976072,-0.21227612468503781,1.0136740454349757,0.0921344099187013,,,,,,,,,,,,,,,
7,1747921332204804992,vicon/world,195702060.0,1747921332.0,-3.0117850608828656,-10.134204444669496,179.30295807528364,-0.21227628397188086,1.0136492581081946,0.09212269277549513,,,,,,,,,,,,,,,
8,1747921332213731442,vicon/world,206043074.0,1747921332.0,-3.0974888445049773,-10.1535941105555,179.3259466576044,-0.21226528987699175,1.0136602944593913,0.0921418537027743,,,,,,,,,,,,,,,
9,1747921332225121190,vicon/world,216161402.0,1747921332.0,-3.1389533449769202,-10.11123121764172,179.31650041342746,-0.21227198619141255,1.0136666893520985,0.09214543783477033,,,,,,,,,,,,,,,
10,1747921332233626947,vicon/world,225747763.0,1747921332.0,-3.0859866454480445,-10.130392864267916,179.28776666321093,-0.2122916272188083,1.0136695599578505,0.0921288595799796,,,,,,,,,,,,,,,
11,1747921332234834086,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
12,1747921332243591904,vicon/world,236278882.0,1747921332.0,-3.128311573631532,-10.07771095337671,179.33563446325397,-0.21226700324904724,1.0136744366558543,0.09215232635268678,,,,,,,,,,,,,,,
13,1747921332254873297,vicon/world,245725694.0,1747921332.0,-3.115296469399844,-10.09156790344673,179.31504517844877,-0.21227461565223354,1.0136621002082153,0.092138187706268,,,,,,,,,,,,,,,
14,1747921332263672840,vicon/world,255978520.0,1747921332.0,-3.1286361572217105,-10.146520570718742,179.2954128002203,-0.21226920736735166,1.0136790377637221,0.09216307535356581,,,,,,,,,,,,,,,
15,1747921332274025791,vicon/world,266685410.0,1747921332.0,-3.064388518170814,-10.15512836603761,179.3454543007647,-0.21227842690869872,1.0136576367712724,0.09212848406848113,,,,,,,,,,,,,,,
16,1747921332284839159,vicon/world,275702779.0,1747921332.0,-3.1084176511016897,-10.14932345657875,179.29896183842197,-0.21227736642297362,1.013664386532804,0.09213216250108064,,,,,,,,,,,,,,,
17,1747921332293567138,vicon/world,286044370.0,1747921332.0,-3.1240051700566442,-10.14169837890854,179.29754488063517,-0.21226992490468993,1.0136808470066756,0.09213087168273104,,,,,,,,,,,,,,,
18,1747921332304851220,vicon/world,295782450.0,1747921332.0,-3.0724196208982644,-10.140258933459092,179.3201898016473,-0.2122678808186814,1.0136701563383512,0.09213239791574285,,,,,,,,,,,,,,,
19,1747921332314155390,vicon/world,305769830.0,1747921332.0,-3.108895778667066,-10.151899951888943,179.28069754570691,-0.21228244573110075,1.0136688879722517,0.09213368892717762,,,,,,,,,,,,,,,
20,1747921332325023367,vicon/world,316302535.0,1747921332.0,-3.0846453152591065,-10.141056286852288,179.33979288014882,-0.21227519581628015,1.0136550683957393,0.09215154336865425,,,,,,,,,,,,,,,
21,1747921332334775958,vicon/world,326080227.0,1747921332.0,-3.100738006009559,-10.120412179157064,179.32422072168478,-0.21227414876235828,1.013663361991558,0.09213799013974122,,,,,,,,,,,,,,,
22,1747921332343772224,vicon/world,336538156.0,1747921332.0,-3.107911855280969,-10.147297525573128,179.29830500840666,-0.21227677451703225,1.0136763942489926,0.0921454993174773,,,,,,,,,,,,,,,
23,1747921332346972710,,,,,,,,,,-0.5925156474113464,9.810979843139656,0.07214533537626265,0.0,0.0,83.20386505126953,,,,,,,,,
24,1747921332353306008,vicon/world,346557962.0,1747921332.0,-3.0863446631949447,-10.151264062580724,179.26559609954765,-0.2122799263286977,1.0136584672211064,0.0921360415836104,,,,,,,,,,,,,,,
25,1747921332363680690,vicon/world,355677421.0,1747921332.0,-3.100162677175869,-10.150080798965147,179.29012877889855,-0.21227401324023418,1.013669559896727,0.09213828327277515,,,,,,,,,,,,,,,
26,1747921332368537706,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
