,time,/vicon/pose/header.frame_id,/vicon/pose/header.stamp.nanosec,/vicon/pose/header.stamp.sec,/vicon/pose/roll,/vicon/pose/pitch,/vicon/pose/yaw,/vicon/pose/pose.position.x,/vicon/pose/pose.position.y,/vicon/pose/pose.position.z,/cf_logpos/roll,/cf_logpos/pitch,/cf_logpos/yaw,/cf_logpos/position.x,/cf_logpos/position.y,/cf_logpos/position.z,/cf_controll/roll,/cf_controll/pitch,/cf_controll/yaw,/cf_controll/position.x,/cf_controll/position.y,/cf_controll/position.z
0,1747917301931849085,vicon/world,922065557.0,1747917301.0,-0.7163557239527624,2.748647212311809,-0.3132972180637356,0.2194567585009399,1.259471826620206,0.09501470230813543,,,,,,,,,,,,
1,1747917301940209464,vicon/world,932122244.0,1747917301.0,-0.8061358025278292,2.8839260988799733,-0.37936510083806557,0.21949133869571077,1.259487509614012,0.0950516386634594,,,,,,,,,,,,
2,1747917301949053160,vicon/world,941975090.0,1747917301.0,-1.074147771272312,2.6136380585355123,-0.39803660446495925,0.21952078856920904,1.2594878391790367,0.09500388129272824,,,,,,,,,,,,
3,1747917301953366241,,,,,,,,,,-2.2784743309020996,0.0665465146303267,-4.232742786407471,0.0,0.0,85.09205627441406,,,,,,
4,1747917301957815525,,,,,,,,,,,,,,,,0.027037396006477976,0.02164593189927954,5.107266673784846e-06,0.0469401590526104,0.18517127633094788,-93.08229064941406
5,1747917301959465687,vicon/world,952282182.0,1747917301.0,-1.0873568388385455,2.840517374685954,-0.3894780123731164,0.21959320679572208,1.259507690653347,0.0951684693922798,,,,,,,,,,,,
6,1747917301969204957,vicon/world,961939618.0,1747917301.0,-1.125238598574225,2.9003113630987825,-0.40844372674231294,0.21960791497684887,1.2594838126106926,0.09524735541426833,,,,,,,,,,,,
7,1747917301979368696,vicon/world,972144953.0,1747917301.0,-0.8849838044790068,2.8746473155898413,-0.35356089498363436,0.21945250411388476,1.259516649416954,0.09536158496672185,,,,,,,,,,,,
8,1747917301989544786,vicon/world,982236795.0,1747917301.0,-0.9477590136528229,3.1435404720242994,-0.425937072490864,0.21964050216341405,1.259498534550653,0.09534683566907262,,,,,,,,,,,,
9,1747917301999624837,vicon/world,992256507.0,1747917301.0,-1.2743185179492076,2.655454151666138,-0.43072090461568713,0.2195982644580882,1.2594609652475734,0.09514890175658869,,,,,,,,,,,,
10,1747917302009518033,vicon/world,2268175.0,1747917302.0,-1.0580801663367723,2.623516774672678,-0.40679833892623757,0.2194805843692629,1.2594815804814978,0.09518121910973083,,,,,,,,,,,,
11,1747917302019953698,vicon/world,12732101.0,1747917302.0,-1.023115806691459,2.4892925458058133,-0.4074242879312901,0.21948610886019038,1.2594090508672693,0.09513280923082747,,,,,,,,,,,,
12,1747917302029518150,vicon/world,22339577.0,1747917302.0,-1.1475814503513808,2.2262395413955853,-0.45433114689750237,0.21951044300979547,1.2594039396024619,0.09495295633531489,,,,,,,,,,,,
13,1747917302039614892,vicon/world,32280347.0,1747917302.0,-0.6175094854346872,3.0116431511053783,-0.3366285985296768,0.21957899319225538,1.2595280304083531,0.09508466500650757,,,,,,,,,,,,
14,1747917302049563092,vicon/world,42395258.0,1747917302.0,-0.7864905705084351,2.5733740727685728,-0.42434005381030004,0.21953571200957336,1.2594080722547674,0.09487304219576605,,,,,,,,,,,,
15,1747917302054969501,,,,,,,,,,-2.0450844764709477,-0.1605487465858306,-4.26668643951416,0.0,0.0,85.16064453125,,,,,,
16,1747917302058719324,,,,,,,,,,,,,,,,0.01366854535868862,-0.04426136388861097,-5.2795205689320955e-06,0.04708561673760414,0.18513433635234833,-93.81220245361328
17,1747917302059545998,vicon/world,52305931.0,1747917302.0,-0.8610746444306571,2.5527340938886542,-0.33273102962006684,0.21952019022972794,1.259429936831065,0.09484942277418401,,,,,,,,,,,,
18,1747917302069419869,vicon/world,62197940.0,1747917302.0,-0.8184394810391205,2.97232771811394,-0.38048008407524214,0.21958063635619957,1.2595535417562955,0.09505252179677039,,,,,,,,,,,,
19,1747917302079532384,vicon/world,72348679.0,1747917302.0,-1.0290648116383538,2.9592025859768136,-0.3776558178898928,0.21958881753703804,1.2595773965451031,0.0951886194877791,,,,,,,,,,,,
20,1747917302089324277,vicon/world,82075065.0,1747917302.0,-1.4356212026215909,2.571544131673174,-0.4592866916519653,0.21947584736506248,1.259525711329081,0.09526840374064922,,,,,,,,,,,,
21,1747917302099585756,vicon/world,92082417.0,1747917302.0,-1.6526013067156453,2.810008527109393,-0.4098748015213494,0.21948428964009498,1.2595148684226667,0.09538678225025901,,,,,,,,,,,,
22,1747917302109663636,vicon/world,103337016.0,1747917302.0,-1.9848664305896688,3.078315887775662,-0.5004203192241214,0.21961256543824142,1.2596315429609244,0.09546840598748621,,,,,,,,,,,,
23,1747917302120281615,vicon/world,112475809.0,1747917302.0,-2.1915202297547585,3.048824459814375,-0.46961958307297036,0.21954881087849215,1.2596956433235007,0.09550375250724627,,,,,,,,,,,,
24,1747917302130063527,vicon/world,123663417.0,1747917302.0,-2.300490561852262,3.0390225452211563,-0.4773350987346574,0.21950242013976956,1.2597017488744313,0.09553186210020369,,,,,,,,,,,,
25,1747917302141009723,vicon/world,132242446.0,1747917302.0,-2.7362467038196434,2.5942910522546425,-0.5072467574284426,0.21950570946575063,1.2596945251565832,0.09532923687443183,,,,,,,,,,,,
26,1747917302149512904,vicon/world,142094502.0,1747917302.0,-3.2923213163228913,2.226019801763789,-0.5278052648343825,0.21948003077018222,1.2596950042775912,0.0950490919916952,,,,,,,,,,,,
